/tmp/nix-shell.IFOJvY/RenderDoc/sphere_test_2026.08.29_17.33.31_frame4.rdc - Frame #4

 EID  | Event                                                                                                  | Action #
-------------------------------------------------------------------------------------------------------------------------
8     | - => vkQueueSubmit(82)[0]: vkBeginCommandBuffer(Baked Command Buffer 1974)                             | 1     
10    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Position Buffer)                                  | 1     
12    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Color Buffer)                                     | 2     
14    | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 320)                                                 | 3     
16    | - vkCmdCopyBuffer((wgpu internal) Staging, Buffer 318)                                                 | 4     
18    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 5     
20    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 6     
22    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 7     
24    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 8     
26    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 9     
28    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 10    
30    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 11    
32    | - vkCmdCopyBuffer((wgpu internal) Staging, chunk_indirect_args_buffer)                                 | 12    
33    | - => vkQueueSubmit(82)[0]: vkEndCommandBuffer(Baked Command Buffer 1974)                               | 13    
34    | - => vkQueueSubmit(82)[1]: vkBeginCommandBuffer(Baked Command Buffer 2233)                             | 13    
37    | - => vkQueueSubmit(82)[1]: vkEndCommandBuffer(Baked Command Buffer 2233)                               | 13    
38    | - => vkQueueSubmit(82)[2]: vkBeginCommandBuffer(Baked Command Buffer 1994)                             | 13    
39    | - => vkQueueSubmit(82)[2]: vkEndCommandBuffer(Baked Command Buffer 1994)                               | 13    
40    | - => vkQueueSubmit(82)[3]: vkBeginCommandBuffer(Baked Command Buffer 1993)                             | 13    
41    | - surface_nets_pass1                                                                                   |       
44    |  \- vkCmdDispatch(8, 8, 8)                                                                             | 13    
46    | - => vkQueueSubmit(82)[3]: vkEndCommandBuffer(Baked Command Buffer 1993)                               | 14    
47    | - => vkQueueSubmit(82)[4]: vkBeginCommandBuffer(Baked Command Buffer 1996)                             | 14    
49    | - => vkQueueSubmit(82)[4]: vkEndCommandBuffer(Baked Command Buffer 1996)                               | 14    
50    | - => vkQueueSubmit(82)[5]: vkBeginCommandBuffer(Baked Command Buffer 1995)                             | 14    
51    | - stream_compaction_scan                                                                               |       
54    |  \- vkCmdDispatch(64, 1, 1)                                                                            | 14    
56    | - => vkQueueSubmit(82)[5]: vkEndCommandBuffer(Baked Command Buffer 1995)                               | 15    
57    | - => vkQueueSubmit(82)[6]: vkBeginCommandBuffer(Baked Command Buffer 1998)                             | 15    
59    | - => vkQueueSubmit(82)[6]: vkEndCommandBuffer(Baked Command Buffer 1998)                               | 15    
60    | - => vkQueueSubmit(82)[7]: vkBeginCommandBuffer(Baked Command Buffer 1997)                             | 15    
61    | - stream_compaction_scan_block_sums                                                                    |       
64    |  \- vkCmdDispatch(1, 1, 1)                                                                             | 15    
66    | - => vkQueueSubmit(82)[7]: vkEndCommandBuffer(Baked Command Buffer 1997)                               | 16    
67    | - => vkQueueSubmit(82)[8]: vkBeginCommandBuffer(Baked Command Buffer 2000)                             | 16    
69    | - => vkQueueSubmit(82)[8]: vkEndCommandBuffer(Baked Command Buffer 2000)                               | 16    
70    | - => vkQueueSubmit(82)[9]: vkBeginCommandBuffer(Baked Command Buffer 1999)                             | 16    
71    | - stream_compaction_resolve                                                                            |       
74    |  \- vkCmdDispatch(64, 1, 1)                                                                            | 16    
76    | - => vkQueueSubmit(82)[9]: vkEndCommandBuffer(Baked Command Buffer 1999)                               | 17    
77    | - => vkQueueSubmit(82)[10]: vkBeginCommandBuffer(Baked Command Buffer 2002)                            | 17    
79    | - => vkQueueSubmit(82)[10]: vkEndCommandBuffer(Baked Command Buffer 2002)                              | 17    
