/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
-------------------------------------------------------------------------------------------------------------------------------------
26    | - => vkQueueSubmit(62)[0]: vkBeginCommandBuffer(Baked Command Buffer 9359)                                         | 1     
28    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Position Buffer)                                              | 1     
30    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Color Buffer)                                                 | 2     
32    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Strip Position Buffer)                                        | 3     
34    | - vkCmdCopyBuffer((wgpu internal) Staging, LineGizmo Strip Color Buffer)                                           | 4     
36    | - vkCmdCopyBuffer((wgpu internal) Staging, bevy_render::render_resource::buffer_vec::RawBufferVec&lt;bevy_pbr:...) | 5     
38    | - vkCmdCopyBuffer((wgpu internal) Staging, bevy_render::render_resource::uniform_buffer::DynamicUniformBuff...)    | 6     
39    | - => vkQueueSubmit(62)[0]: vkEndCommandBuffer(Baked Command Buffer 9359)                                           | 7     
40    | - => vkQueueSubmit(62)[1]: vkBeginCommandBuffer(Baked Command Buffer 9432)                                         | 7     
42    | - => vkQueueSubmit(62)[1]: vkEndCommandBuffer(Baked Command Buffer 9432)                                           | 7     
43    | - => vkQueueSubmit(62)[2]: vkBeginCommandBuffer(Baked Command Buffer 9373)                                         | 7     
44    | - => vkQueueSubmit(62)[2]: vkEndCommandBuffer(Baked Command Buffer 9373)                                           | 7     
45    | - => vkQueueSubmit(62)[3]: vkBeginCommandBuffer(Baked Command Buffer 9372)                                         | 7     
46    | - surface_nets_pass1_batched                                                                                       |       
49    |  \- vkCmdDispatch(17, 17, 425)                                                                                     | 7     
51    | - => vkQueueSubmit(62)[3]: vkEndCommandBuffer(Baked Command Buffer 9372)                                           | 8     
52    | - => vkQueueSubmit(62)[4]: vkBeginCommandBuffer(Baked Command Buffer 9375)                                         | 8     
54    | - => vkQueueSubmit(62)[4]: vkEndCommandBuffer(Baked Command Buffer 9375)                                           | 8     
55    | - => vkQueueSubmit(62)[5]: vkBeginCommandBuffer(Baked Command Buffer 9374)                                         | 8     
56    | - stream_compaction_scan_batched                                                                                   |       
59    |  \- vkCmdDispatch(13425, 1, 1)                                                                                     | 8     
61    | - => vkQueueSubmit(62)[5]: vkEndCommandBuffer(Baked Command Buffer 9374)                                           | 9     
62    | - => vkQueueSubmit(62)[6]: vkBeginCommandBuffer(Baked Command Buffer 9377)                                         | 9     
64    | - => vkQueueSubmit(62)[6]: vkEndCommandBuffer(Baked Command Buffer 9377)                                           | 9     
65    | - => vkQueueSubmit(62)[7]: vkBeginCommandBuffer(Baked Command Buffer 9376)                                         | 9     
66    | - stream_compaction_scan_block_sums_batched                                                                        |       
69    |  \- vkCmdDispatch(25, 1, 1)                                                                                        | 9     
71    | - => vkQueueSubmit(62)[7]: vkEndCommandBuffer(Baked Command Buffer 9376)                                           | 10    
72    | - => vkQueueSubmit(62)[8]: vkBeginCommandBuffer(Baked Command Buffer 9379)                                         | 10    
74    | - => vkQueueSubmit(62)[8]: vkEndCommandBuffer(Baked Command Buffer 9379)                                           | 10    
75    | - => vkQueueSubmit(62)[9]: vkBeginCommandBuffer(Baked Command Buffer 9378)                                         | 10    
76    | - stream_compaction_resolve_batched                                                                                |       
79    |  \- vkCmdDispatch(13425, 1, 1)                                                                                     | 10    
81    | - => vkQueueSubmit(62)[9]: vkEndCommandBuffer(Baked Command Buffer 9378)                                           | 11    
82    | - => vkQueueSubmit(62)[10]: vkBeginCommandBuffer(Baked Command Buffer 9381)                                        | 11    
84    | - => vkQueueSubmit(62)[10]: vkEndCommandBuffer(Baked Command Buffer 9381)                                          | 11    
85    | - => vkQueueSubmit(62)[11]: vkBeginCommandBuffer(Baked Command Buffer 9380)                                        | 11    
86    | - stream_compaction_write_active_counts                                                                            |       
89    |  \- vkCmdDispatch(25, 1, 1)                                                                                        | 11    
91    | - => vkQueueSubmit(62)[11]: vkEndCommandBuffer(Baked Command Buffer 9380)                                          | 12    
92    | - => vkQueueSubmit(62)[12]: vkBeginCommandBuffer(Baked Command Buffer 9383)                                        | 12    
94    | - => vkQueueSubmit(62)[12]: vkEndCommandBuffer(Baked Command Buffer 9383)                                          | 12    
95    | - => vkQueueSubmit(62)[13]: vkBeginCommandBuffer(Baked Command Buffer 9382)                                        | 12    
96    | - compute_chunk_bases                                                                                              |       
99    |  \- vkCmdDispatch(1, 1, 1)                                                                                         | 12    
101   | - => vkQueueSubmit(62)[13]: vkEndCommandBuffer(Baked Command Buffer 9382)                                          | 13    
102   | - => vkQueueSubmit(62)[14]: vkBeginCommandBuffer(Baked Command Buffer 9385)                                        | 13    
104   | - => vkQueueSubmit(62)[14]: vkEndCommandBuffer(Baked Command Buffer 9385)                                          | 13    
105   | - => vkQueueSubmit(62)[15]: vkBeginCommandBuffer(Baked Command Buffer 9384)                                        | 13    
